Game_ID,Agent_Color,Winner,Moves,Phase
1,White,Agent,23,Middlegame
2,Black,Agent,32,Middlegame
3,White,Draw,94,Endgame
4,Black,Agent,62,Endgame
5,White,Agent,37,Middlegame
6,Black,Agent,40,Middlegame
7,White,Agent,48,Endgame
8,Black,Stockfish,46,Endgame
9,White,Stockfish,38,Middlegame
10,Black,Draw,79,Endgame
11,White,Stockfish,57,Endgame
12,Black,Stockfish,127,Endgame
13,White,Agent,24,Middlegame
14,Black,Agent,42,Endgame
15,White,Agent,45,Endgame
16,Black,Agent,60,Endgame
17,White,Agent,41,Middlegame
18,Black,Stockfish,42,Middlegame
19,White,Stockfish,22,Middlegame
20,Black,Draw,352,Endgame
21,White,Agent,47,Endgame
22,Black,Draw,162,Endgame
23,White,Draw,258,Endgame
24,Black,Agent,123,Endgame
25,White,Agent,46,Endgame
26,Black,Draw,178,Endgame
27,White,Stockfish,23,Middlegame
28,Black,Stockfish,32,Middlegame
29,White,Agent,72,Endgame
30,Black,Draw,161,Endgame
31,White,Draw,157,Endgame
32,Black,Stockfish,29,Endgame
33,White,Agent,36,Endgame
34,Black,Stockfish,151,Endgame
35,White,Draw,220,Endgame
36,Black,Stockfish,52,Endgame
37,White,Stockfish,94,Endgame
38,Black,Agent,21,Middlegame
39,White,Draw,306,Endgame
40,Black,Agent,72,Middlegame
41,White,Agent,41,Endgame
42,Black,Stockfish,41,Middlegame
43,White,Agent,50,Endgame
44,Black,Draw,167,Endgame
45,White,Agent,34,Endgame
46,Black,Agent,34,Endgame
47,White,Stockfish,18,Middlegame
48,Black,Agent,73,Middlegame
49,White,Agent,61,Endgame
50,Black,Agent,27,Endgame
51,White,Agent,90,Endgame
52,Black,Draw,90,Endgame
53,White,Agent,50,Endgame
54,Black,Draw,242,Endgame
55,White,Agent,43,Endgame
56,Black,Agent,41,Endgame
57,White,Agent,58,Endgame
58,Black,Draw,155,Endgame
59,White,Agent,68,Middlegame
60,Black,Draw,69,Endgame
61,White,Agent,37,Endgame
62,Black,Draw,46,Endgame
63,White,Stockfish,71,Endgame
64,Black,Stockfish,28,Endgame
65,White,Stockfish,21,Middlegame
66,Black,Agent,58,Endgame
67,White,Agent,66,Endgame
68,Black,Stockfish,31,Middlegame
69,White,Stockfish,42,Endgame
70,Black,Stockfish,59,Endgame
71,White,Stockfish,88,Endgame
72,Black,Stockfish,111,Endgame
73,White,Agent,56,Endgame
74,Black,Stockfish,34,Middlegame
75,White,Stockfish,77,Endgame
76,Black,Stockfish,37,Endgame
77,White,Stockfish,147,Endgame
78,Black,Stockfish,65,Middlegame
79,White,Draw,92,Endgame
80,Black,Stockfish,22,Middlegame
81,White,Stockfish,34,Endgame
82,Black,Agent,33,Middlegame
83,White,Draw,155,Endgame
84,Black,Agent,35,Endgame
85,White,Stockfish,48,Middlegame
86,Black,Stockfish,24,Middlegame
87,White,Stockfish,30,Middlegame
88,Black,Stockfish,36,Middlegame
89,White,Agent,56,Endgame
90,Black,Draw,72,Endgame
91,White,Agent,19,Middlegame
92,Black,Stockfish,38,Middlegame
93,White,Stockfish,34,Middlegame
94,Black,Stockfish,48,Endgame
95,White,Agent,80,Endgame
96,Black,Agent,44,Middlegame
97,White,Stockfish,37,Middlegame
98,Black,Stockfish,58,Endgame
99,White,Draw,70,Endgame
100,Black,Stockfish,41,Middlegame
